ActivityStartDate,ActivityStartTime/Time,ActivityEndDate,ActivityEndTime/Time,MonitoringLocationIdentifier,ActivityDepthHeightMeasure/MeasureValue,ActivityMediaName,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,MeasureQualifierCode,DetectionQuantitationLimitMeasure/MeasureValue,ResultDetectionConditionText,ProjectIdentifier,ResultAnalyticalMethod/MethodName,ProviderName,ActivityDepthHeightMeasure/MeasureUnitCode
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Chlorobenzene,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Sulfate,63.2,mg/L,Final,,,,41,USEPA 375.2,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Chloroform,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,Chemical oxygen demand,,,Final,,20.0,Present Below Quantification Limit,41,,STORET,
2014-05-06,,,,21OHIO_WQX-V07W06,,Water,Calcium,82.9,mg/L,Final,,,,1137,OEPA Method,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Methyl tert-butyl ether,,,Final,J;U,0.5,Present Below Quantification Limit,41,,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,Calcium,129.0,mg/L,Final,,,,41,OEPA Method,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Oxidation reduction potential (ORP),-21.0,mV,Final,,,,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Iron,1320.0,ug/L,Final,,,,41,USEPA 200.7,STORET,
2014-05-07,09:10:00,,,21OHIO_WQX-V07W06,,Water,"Temperature, water",16.03,deg C,Final,,,,1708,,STORET,
2014-05-07,,,,21OHIO_WQX-V07W06,,Water,pH,7.29,,Final,,,,1708,USEPA 150.1,STORET,
2014-05-06,,,,21OHIO_WQX-V07W06,,Water,Aluminum,,,Final,,200.0,Present Below Quantification Limit,1137,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Cymene,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,tert-Butylbenzene,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,Lead,,,Final,,2.0,Present Below Quantification Limit,41,,STORET,
2014-05-06,,,,21OHIO_WQX-V07W06,,Water,Phosphorus,2.12,mg/L,Final,,,,1137,USEPA 365.4,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,p-Chlorotoluene,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Phosphorus,0.018,mg/L,Final,,,,41,USEPA 365.4,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,Ammonia,,,Final,,0.05,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Tribromomethane,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,"1,2,3-Trichlorobenzene",,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-05-06,,,,21OHIO_WQX-V07W06,,Water,Chemical oxygen demand,45.0,mg/L,Final,,,,1137,SM 5220D,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Methylene chloride,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,"1,1,2-Trichloroethane",,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-05-06,,,,21OHIO_WQX-V07W06,,Water,Cadmium,,,Final,,0.2,Present Below Quantification Limit,1137,,STORET,
2014-05-07,,,,21OHIO_WQX-V07W06,,Water,Oil and Grease,,,Final,,2.1,Present Below Quantification Limit,1708,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Dibromomethane,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,Oxidation reduction potential (ORP),0.0,mV,Final,,,,41,,STORET,
2014-05-06,09:00:00,,,21OHIO_WQX-V07W06,,Water,pH,7.46,,Final,,,,1137,,STORET,
